image,lol_of_genrated_response,lol_of_original_response
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C979235B440>,"[['""[\'A little girl in an Elmo costume holding a guitar."", ""'], ['A little girl in a Elmo costume playing a guitar'], ['A child dressed up as Elmo is playing a guitar."", ""'], ['A toddler in an Elmo costume playing a guitar."", ""'], ['A toddler in an Elmo costume playing a guitar.\']""']]","[['The baby his a Cookie Monster outfit on he is happy he his a Gutter its red'], ['""A child wearing a shirt decorated with Elmo\'s face holds a red ukulele."", \'A toddler wearing an Elmo Christmas outfit holds a red guitar.'], ['A child wearing a santa elmo suit holding a red guitar.'], ['A child in a Elmo suit is playing the guitar.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C9745589610>,"[['""[\'Children and adults are enjoying the water in a public fountain."", ""'], ['A man in black pants is running through the water."", ""'], ['A fountain is spraying water in a public square."", ""'], ['People playing in a fountain in the summer."", ""'], ['People are playing in a water fountain.\']""']]","[['A man without a shirt runs through water spraying out of a large silver dome.'], ['A group of people are standing around a water fountain getting wet.'], ['People playing outside near a water fountain getting wet.'], ['A large crowd plays in and around a fountain.'], ['Sprinkler goes off in the middle of a crowd.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x315 at 0x7C974675BB90>,"[['""[\'A mother wearing a blue shirt with a polka dot headband watches as her daughter tries to catch bubbles in a park."", ""'], ['A woman and a little girl playing with bubbles in a park."", ""'], ['A woman and a little girl are playing with bubbles."", ""'], ['A woman and a child play with bubbles in a park."", ""'], ['A woman and a girl playing with bubbles\']""']]","[['A young woman in a blue shirt stands, holding a young girl in a denim dress.'], ['There is a woman holding her baby daughter while the daughter claps.'], ['A woman with holding a young girl playing with bubbles at a picnic.'], ['A woman is holding a little girl who is trying to catch bubbles.'], ['A lady holds a little girl who is trying to catch bubbles.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7C9727BB0D10>,"[['""[\'A woman is jogging down a dirt road with mountains in the background."", ""'], ['A woman in shorts jogs down a trail surrounded by mountains."", ""'], ['A woman running on a trail in the mountains."", ""'], ['A woman running through a mountainous area."", ""'], ['A woman runs down a trail near a mountain.\']""']]","[['A woman is walking down a trail with tall grass and a mountain in the background.'], ['A hiker jogs down a rocky road while blue skies and mountains cross the horizon.'], ['Woman jogging down a mountain trail with mountains in the background.'], ['A woman in yellow shir and black shorts is running along.'], ['A female runner running alone near a mountain.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7C9744B6CA10>,"[['""[\'A group of people are reaching into a series of boxes on a wall, while a stuffed gorilla looks down at them."", ""'], ['People are reaching their hands into metal boxes with a gorilla looking on."", ""'], ['A group of people reach into boxes while a gorilla looks on."", ""'], ['A group of people reaching into a large machine."", ""'], ['A group of people reaching into boxes.\']""']]","[['A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.'], ['A group of young people stand in front of and touch a black, rusting metal structure.'], ['The stuffed gorilla is laying on top of the stack of speakers.'], ['Young people stand underneath a large stuffed gorilla.'], ['People stand in front of a black wooden contraption.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x335 at 0x7C97E12A0140>,"[['""[\'A band of four men and a woman are on stage, playing instruments and singing."", ""'], ['A band of musicians performing on stage at an entertainment event."", ""'], ['A band of musicians are performing on stage under a white tent."", ""'], ['A band is performing in a white tent."", ""'], ['A band playing music on stage.\']""']]","[['A band with four members, one female, plays for a small audience.'], ['A woman in a blue dress sings while her bandmates play instruments.'], ['A 5-person band is performing on a stage inside a tent.'], ['A musical quintet are performing at a festival.'], ['Three men and one woman in a band on a stage.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7C9727B68E30>,"[['""[\'Two men are working on their laptops with a guitar between them."", ""'], ['Two men sitting on a table working on their laptops."", ""'], ['Two men with guitars work on their laptops."", ""'], ['Two men playing guitar and using laptops."", ""'], ['Two men on computers and playing guitars\']""']]","[['A man holding guitar and works at an Asus betbook, whilst another man works an Apple netbook beside him.'], ['Two men seated, one holding a guitar, looking at laptop computer screens.'], ['Two men looking at little white laptops and holding a guitar.'], ['Two men working on there apple laptops.'], ['Two men are using their laptops.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x335 at 0x7C9744683650>,"[['""[\'A person in a white and black shirt is mopping while a man in a black suit walks down the sidewalk."", ""'], ['A security guard is mopping the floor in a lobby while a man in a suit walks by."", ""'], ['A security guard mops the floor in front of a building while a man walks by."", ""'], ['A man is cleaning up a building while another man is walking by."", ""'], ['A man in a black suit is walking past a man mopping the floor.\']""']]","[['A man wearing a suit walks next to a building support column with palm trees in the background.'], ['An interesting square is surrounded by people commuting to their desired destinations.'], ['In a modern building, employees cross paths with the janitor with an orange trashcan.'], ['The outside of a business is shown with a trashcan and four people walking around.'], ['Several people walk past a mirrored pillar in a public concourse.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C972794B140>,"[['""[\'A man in a brown shirt plays the guitar, while another man in a brown shirt and plaid pants plays the guitar."", ""'], ['Three musicians playing electric guitars in a dark room."", ""'], ['Three men playing guitar in a band on a stage."", ""'], ['Three people play electric guitar on a stage."", ""'], ['Three musicians playing guitars.\']""']]","[['A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background.'], ['A band consisting of a female bassist, a male face-painted guitarist, and an average-looking vocalist rock out on stage.'], ['A guy in a brown shirt, a girl in a black shirt, and a guy in a plaid suit are playing in a band.'], ['A man in a T-shirt and jeans is dancing in front of a man and a woman playing electric guitars.'], ['A man in a plaid suit playing guitar with a woman and another man.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7C9744B8A810>,"[['""[\'A man wearing patriotic swimming trunks dives underwater with other swimmers."", ""'], ['A group of people swimming underwater, including a man with an american flag."", ""'], ['A group of people in bathing suits swimming underwater."", ""'], ['A group of people are swimming underwater."", ""'], ['Several people swimming underwater.\']""']]","[['A group of people are varying degrees of underwater in a pool, with an older man clad in American flag swim trunks the furthest underwater.'], ['A man, in the American flag swim trunks, swims underneath other at a pool.'], ['A number of people are diving and swimming in a body of water.'], ['The people swim above and under the water in the pool.'], ['Old man in swimming pool having fun swimming']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C9727F54B00>,"[['""[\'A man in a black shirt is sitting down and playing his guitar."", ""'], ['A man in a black shirt is sitting and playing a guitar."", ""'], ['A man in a black shirt is sitting and playing a guitar."", ""'], ['A man in a black shirt plays a black acoustic guitar."", ""'], ['A man in a black shirt playing a guitar.\']""']]","[['A man with a rolling stones t-shirt on with beige pants sitting in a highchair adjusting a black guitar'], ['Young man wearing a rolling stones black t-shirt playing a guitar.'], ['A young shaved head man is tuning his guitar.'], ['A young man tunes his guitar in the kitchen.'], ['A guy sitting on a chair tunes his guitar.']]"
